name,description,icon_color,long,lat,pic_url,thumb_url
Basantapur ,"
         <div>
           <a href=""http://asign.cern.ch/display/file/f7a7bfc926ff0877ae2b6d8fd50efa4d/preview45423_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/f7a7bfc926ff0877ae2b6d8fd50efa4d/preview45423_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/bc9cf22d7e68075c263b9cc47805b6fd"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Basantapur 
           <br/>
           <br/>
           From: shuvi@outlook.com
           <br/>
           Date: 27°42?17?N 85°18?21?E
           <br/>
           Location: 2015-05-05 02:45:14
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18231"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.30609455,27.70476199,http://asign.cern.ch/display/file/f7a7bfc926ff0877ae2b6d8fd50efa4d/preview45423_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/f7a7bfc926ff0877ae2b6d8fd50efa4d/preview45423_rotated_90_degrees_cw.jpg
"Machapokhari, balaju","
         <div>
           <a href=""http://asign.cern.ch/display/file/2506c5d9f09329bb0e8919426ed178e0/preview6280_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/2506c5d9f09329bb0e8919426ed178e0/preview6280_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/bb5bb14bfda16f5bb3e8566d26cce2f8"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Machapokhari, balaju
           <br/>
           <br/>
           From: kunwarbikky@gmail.com
           <br/>
           Date: 27°44?5?N 85°18?19?E
           <br/>
           Location: 2015-05-02 04:35:00
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18103"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.3055003,27.7348732,http://asign.cern.ch/display/file/2506c5d9f09329bb0e8919426ed178e0/preview6280_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/2506c5d9f09329bb0e8919426ed178e0/preview6280_rotated_90_degrees_cw.jpg
"Machapokhari, balaju","
         <div>
           <a href=""http://asign.cern.ch/display/file/43f1f98f89b5f6100ce8bfa517dd726a/preview22700_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/43f1f98f89b5f6100ce8bfa517dd726a/preview22700_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/96a57ac976e84f0b40e9e81eac485b0d"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Machapokhari, balaju
           <br/>
           <br/>
           From: kunwarbikky@gmail.com
           <br/>
           Date: 27°44?5?N 85°18?19?E
           <br/>
           Location: 2015-05-02 04:35:06
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18104"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.30549846,27.73486821,http://asign.cern.ch/display/file/43f1f98f89b5f6100ce8bfa517dd726a/preview22700_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/43f1f98f89b5f6100ce8bfa517dd726a/preview22700_rotated_90_degrees_cw.jpg
Bunga,"
         <div>
           <a href=""http://asign.cern.ch/display/file/e3294d0b3934b5fb50476e1e5f93cce7/preview74668_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/e3294d0b3934b5fb50476e1e5f93cce7/preview74668_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/fff668806ddf057140c528831e6f0e5b"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Bunga
           <br/>
           <br/>
           From: sucilrana@gmail.com
           <br/>
           Date: 27°37?46?N 85°18?6?E
           <br/>
           Location: 2015-05-01 13:35:03
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18182"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.301911,27.62970986,http://asign.cern.ch/display/file/e3294d0b3934b5fb50476e1e5f93cce7/preview74668_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/e3294d0b3934b5fb50476e1e5f93cce7/preview74668_rotated_90_degrees_cw.jpg
Chundevi,"
         <div>
           <a href=""http://asign.cern.ch/display/file/ac22ed3ea5d889857d0d811cafcfa8e4/preview10576.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/ac22ed3ea5d889857d0d811cafcfa8e4/preview10576.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/e2d96e9e554eed0bc8383ea3ab076290"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Chundevi
           <br/>
           <br/>
           From: govindabasnet112233@gmail.com
           <br/>
           Date: 27°44?11?N 85°20?14?E
           <br/>
           Location: 2015-05-03 10:58:06
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18221"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.33749545,27.7366267,http://asign.cern.ch/display/file/ac22ed3ea5d889857d0d811cafcfa8e4/preview10576.jpg,http://asign.cern.ch/display/file/ac22ed3ea5d889857d0d811cafcfa8e4/preview10576.jpg
Uploaded with ASIGN from AnsuR,"
         <div>
           <a href=""http://asign.cern.ch/display/file/9191d2016e134a2b1b25dcd2a3731bda/preview.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/9191d2016e134a2b1b25dcd2a3731bda/preview.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/59aef7287c4a010172cf84b536428801"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Uploaded with ASIGN from AnsuR
           <br/>
           <br/>
           From: nishajyoti@hotmail.com
           <br/>
           Date: 27°41?12?N 85°17?53?E
           <br/>
           Location: 2015-05-02 10:48:25
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18186"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.29810033,27.68688274,http://asign.cern.ch/display/file/9191d2016e134a2b1b25dcd2a3731bda/preview.jpg,http://asign.cern.ch/display/file/9191d2016e134a2b1b25dcd2a3731bda/preview.jpg
"Machapokhari, balaju","
         <div>
           <a href=""http://asign.cern.ch/display/file/f4bc15fa4734d9084a95f57d2384303e/preview80557.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/f4bc15fa4734d9084a95f57d2384303e/preview80557.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/2fadb21f5494860ed0275ce528d9a170"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Machapokhari, balaju
           <br/>
           <br/>
           From: kunwarbikky@gmail.com
           <br/>
           Date: 27°44?5?N 85°18?19?E
           <br/>
           Location: 2015-05-02 04:34:24
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18100"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.3055003,27.7348732,http://asign.cern.ch/display/file/f4bc15fa4734d9084a95f57d2384303e/preview80557.jpg,http://asign.cern.ch/display/file/f4bc15fa4734d9084a95f57d2384303e/preview80557.jpg
"Dharahara, Sundhara, Kathmandu","
         <div>
           <a href=""http://asign.cern.ch/display/file/a359410200bd330ee8ff55f597c0d54f/preview91260_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/a359410200bd330ee8ff55f597c0d54f/preview91260_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/3d190975e3fc2202ee46670f1c9fa88f"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Dharahara, Sundhara, Kathmandu
           <br/>
           <br/>
           From: surraj@live.com
           <br/>
           Date: 27°42?1?N 85°18?41?E
           <br/>
           Location: 2015-04-30 13:00:18
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18030"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.31140493,27.70052487,http://asign.cern.ch/display/file/a359410200bd330ee8ff55f597c0d54f/preview91260_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/a359410200bd330ee8ff55f597c0d54f/preview91260_rotated_90_degrees_cw.jpg
"Tribhuwan Statue, Tripureshwor, Kathmandu","
         <div>
           <a href=""http://asign.cern.ch/display/file/318d497164f5b7dcbd5775589f45ae89/preview3127_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/318d497164f5b7dcbd5775589f45ae89/preview3127_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/cb795d8268954d971f9dff7e881672bb"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Tribhuwan Statue, Tripureshwor, Kathmandu
           <br/>
           <br/>
           From: surraj@live.com
           <br/>
           Date: 27°41?38?N 85°18?51?E
           <br/>
           Location: 2015-04-30 12:51:46
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18027"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.314422,27.69411016,http://asign.cern.ch/display/file/318d497164f5b7dcbd5775589f45ae89/preview3127_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/318d497164f5b7dcbd5775589f45ae89/preview3127_rotated_90_degrees_cw.jpg
"Teku, Kathmandu","
         <div>
           <a href=""http://asign.cern.ch/display/file/775947ec3930f2006ea778547f1c8148/preview14225_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/775947ec3930f2006ea778547f1c8148/preview14225_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/57d6e7270ee32332aadc4b9bccb72110"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Teku, Kathmandu
           <br/>
           <br/>
           From: surraj@live.com
           <br/>
           Date: 27°41?43?N 85°18?33?E
           <br/>
           Location: 2015-04-30 12:55:11
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18025"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.30917367,27.69545089,http://asign.cern.ch/display/file/775947ec3930f2006ea778547f1c8148/preview14225_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/775947ec3930f2006ea778547f1c8148/preview14225_rotated_90_degrees_cw.jpg
Uploaded with ASIGN from AnsuR,"
         <div>
           <a href=""http://asign.cern.ch/display/file/e9e7fca249c3c0f1a63077c6b3ddfcc2/preview_rotated_90_degrees_cw.jpg"" target=""blank""><img src='http://asign.cern.ch/display/file/e9e7fca249c3c0f1a63077c6b3ddfcc2/preview_rotated_90_degrees_cw.jpg' width='200' alt='' /></a>
           <br/>
           <a href=""http://asign.cern.ch/signs/display/2a69f72203be2d49af19a5adbc6387cf"" target=""blank"">View preview and zoomed in areas</a>
           <br/>
           <br/>
           Caption: Uploaded with ASIGN from AnsuR
           <br/>
           <br/>
           From: nishajyoti@hotmail.com
           <br/>
           Date: 27°41?28?N 85°17?16?E
           <br/>
           Location: 2015-05-01 06:31:11
           <br/>
           <br/>
           Did you take this photo? Login to zoom in, tag or share this photo
           <br/>
           <a href=""http://asign.cern.ch/signs/processing/18036"" target=""blank"">Go to ASIGN Online</a>
           <br/>
           <br/>
	   Help us by downloading the App and contributing  photos. 
           <br/>
	   <a href=""https://unosatgis.cern.ch/WebMap/assets/CrowdSource/help_us.html"">Get the app</a>
           <br/>
           <br/>
         </div>
        ",R,85.28794799,27.69114297,http://asign.cern.ch/display/file/e9e7fca249c3c0f1a63077c6b3ddfcc2/preview_rotated_90_degrees_cw.jpg,http://asign.cern.ch/display/file/e9e7fca249c3c0f1a63077c6b3ddfcc2/preview_rotated_90_degrees_cw.jpg
